"quad","year","trackID","genetX","genetY","distance","allEdge","totCover","totN"
"Q1",2014,1,27.524940915213,27.524940915213,NA,0,27.524940915213,1
"Q1",2015,1,19.0915666706585,19.0915666706585,NA,0,27.048965303501,2
"Q1",2015,1,19.0915666706585,7.9573986328425,30.2009017207915,0,27.048965303501,2
"Q1",2015,2,7.9573986328425,19.0915666706585,30.2009017207915,0,27.048965303501,2
"Q1",2015,2,7.9573986328425,7.9573986328425,NA,0,27.048965303501,2
"Q19",2007,1,57.269349290676,57.269349290676,NA,0,705.27930438969,4
"Q19",2007,1,57.269349290676,67.8939492227805,48.9426608246023,0,705.27930438969,4
"Q19",2007,1,57.269349290676,362.754107313744,73.5111024984863,0,705.27930438969,4
"Q19",2007,1,57.269349290676,217.36189856249,91.1583447934822,0,705.27930438969,4
"Q19",2007,2,67.8939492227805,57.269349290676,48.9426608246023,0,705.27930438969,4
"Q19",2007,2,67.8939492227805,67.8939492227805,NA,0,705.27930438969,4
"Q19",2007,2,67.8939492227805,362.754107313744,73.3101786650135,0,705.27930438969,4
"Q19",2007,2,67.8939492227805,217.36189856249,43.4300110475203,0,705.27930438969,4
"Q19",2007,3,362.754107313744,57.269349290676,73.5111024984863,0,705.27930438969,4
"Q19",2007,3,362.754107313744,67.8939492227805,73.3101786650135,0,705.27930438969,4
"Q19",2007,3,362.754107313744,362.754107313744,NA,0,705.27930438969,4
"Q19",2007,3,362.754107313744,217.36189856249,85.6093226786832,0,705.27930438969,4
"Q19",2007,4,217.36189856249,57.269349290676,91.1583447934822,0,705.27930438969,4
"Q19",2007,4,217.36189856249,67.8939492227805,43.4300110475203,0,705.27930438969,4
"Q19",2007,4,217.36189856249,362.754107313744,85.6093226786832,0,705.27930438969,4
"Q19",2007,4,217.36189856249,217.36189856249,NA,0,705.27930438969,4
"Q19",2008,2,125.479754840122,125.479754840122,NA,0,860.737005195268,3
"Q19",2008,2,125.479754840122,540.006712443432,72.4313327773312,0,860.737005195268,3
"Q19",2008,2,125.479754840122,195.250537911714,44.5338095313514,0,860.737005195268,3
"Q19",2008,3,540.006712443432,125.479754840122,72.4313327773312,0,860.737005195268,3
"Q19",2008,3,540.006712443432,540.006712443432,NA,0,860.737005195268,3
"Q19",2008,3,540.006712443432,195.250537911714,87.4342102006842,0,860.737005195268,3
"Q19",2008,4,195.250537911714,125.479754840122,44.5338095313514,0,860.737005195268,3
"Q19",2008,4,195.250537911714,540.006712443432,87.4342102006842,0,860.737005195268,3
"Q19",2008,4,195.250537911714,195.250537911714,NA,0,860.737005195268,3
"Q19",2009,1,142.485545496672,142.485545496672,NA,0,1368.66350372659,4
"Q19",2009,1,142.485545496672,217.760329461375,48.465500851766,0,1368.66350372659,4
"Q19",2009,1,142.485545496672,683.553560620506,74.513707499598,0,1368.66350372659,4
"Q19",2009,1,142.485545496672,324.864068148037,88.0503225375415,0,1368.66350372659,4
"Q19",2009,2,217.760329461375,142.485545496672,48.465500851766,0,1368.66350372659,4
"Q19",2009,2,217.760329461375,217.760329461375,NA,0,1368.66350372659,4
"Q19",2009,2,217.760329461375,683.553560620506,75.3106104559056,0,1368.66350372659,4
"Q19",2009,2,217.760329461375,324.864068148037,40.9027203719077,0,1368.66350372659,4
"Q19",2009,3,683.553560620506,142.485545496672,74.513707499598,0,1368.66350372659,4
"Q19",2009,3,683.553560620506,217.760329461375,75.3106104559056,0,1368.66350372659,4
"Q19",2009,3,683.553560620506,683.553560620506,NA,0,1368.66350372659,4
"Q19",2009,3,683.553560620506,324.864068148037,85.6933267919536,0,1368.66350372659,4
"Q19",2009,4,324.864068148037,142.485545496672,88.0503225375415,0,1368.66350372659,4
"Q19",2009,4,324.864068148037,217.760329461375,40.9027203719077,0,1368.66350372659,4
"Q19",2009,4,324.864068148037,683.553560620506,85.6933267919536,0,1368.66350372659,4
"Q19",2009,4,324.864068148037,324.864068148037,NA,0,1368.66350372659,4
"Q19",2010,1,169.540228408513,169.540228408513,NA,0,1059.89625202797,4
"Q19",2010,1,169.540228408513,231.576975471064,50.4986992788233,0,1059.89625202797,4
"Q19",2010,1,169.540228408513,280.50445767363,81.3143233956693,0,1059.89625202797,4
"Q19",2010,1,169.540228408513,378.274590474767,89.829551372129,0,1059.89625202797,4
"Q19",2010,2,231.576975471064,169.540228408513,50.4986992788233,0,1059.89625202797,4
"Q19",2010,2,231.576975471064,231.576975471064,NA,0,1059.89625202797,4
"Q19",2010,2,231.576975471064,280.50445767363,77.2545746754476,0,1059.89625202797,4
"Q19",2010,2,231.576975471064,378.274590474767,40.2158490377166,0,1059.89625202797,4
"Q19",2010,3,280.50445767363,169.540228408513,81.3143233956693,0,1059.89625202797,4
"Q19",2010,3,280.50445767363,231.576975471064,77.2545746754476,0,1059.89625202797,4
"Q19",2010,3,280.50445767363,280.50445767363,NA,0,1059.89625202797,4
"Q19",2010,3,280.50445767363,378.274590474767,85.8525411223138,0,1059.89625202797,4
"Q19",2010,4,378.274590474767,169.540228408513,89.829551372129,0,1059.89625202797,4
