"","quad","year","trackID","area.t1","area.t0","age","allEdge","distEdgeMin","QuadName","Grazing","paddock","Group","Treatment"
"1","Q1",2007,1,43.3505824503815,170.180804534591,1,0,0,"E1 Q1","UG",NA,"E1","Control"
"2","Q1",2007,11,6.699740706614,0.25,1,0,15.867847,"E1 Q1","UG",NA,"E1","Control"
"3","Q1",2007,12,0.5,0.25,1,0,21.582858,"E1 Q1","UG",NA,"E1","Control"
"4","Q1",2007,2,34.294582362038,26.9677134134685,1,0,5.03089199999999,"E1 Q1","UG",NA,"E1","Control"
"5","Q1",2007,4,23.9275871000755,57.580312744695,1,0,1.402817,"E1 Q1","UG",NA,"E1","Control"
"6","Q1",2007,5,0.25,19.7233033386635,1,0,32.103197,"E1 Q1","UG",NA,"E1","Control"
"7","Q1",2007,6,19.4956422692455,28.6379368372655,1,0,1.959452,"E1 Q1","UG",NA,"E1","Control"
"8","Q1",2007,7,4.30755032694247,5.1023532479965,1,1,0,"E1 Q1","UG",NA,"E1","Control"
"9","Q1",2007,8,0.25,0.25,1,1,1.368651,"E1 Q1","UG",NA,"E1","Control"
"10","Q1",2007,9,0.25,0.25,1,1,1.791985,"E1 Q1","UG",NA,"E1","Control"
"11","Q1",2008,1,122.280927460094,43.3505824503815,1.66666666666667,0,0.810159,"E1 Q1","UG",NA,"E1","Control"
"12","Q1",2008,12,21.5089806314675,0.5,2,0,21.192338,"E1 Q1","UG",NA,"E1","Control"
"13","Q1",2008,2,16.2424733261355,34.294582362038,1.66666666666667,0,9.660408,"E1 Q1","UG",NA,"E1","Control"
"14","Q1",2008,3,0.25,0.25,1,0,22.778468,"E1 Q1","UG",NA,"E1","Control"
"15","Q1",2008,4,17.3455483325175,23.9275871000755,1.66666666666667,0,0,"E1 Q1","UG",NA,"E1","Control"
"16","Q1",2008,5,68.671739178671,0.25,2,0,32.266439,"E1 Q1","UG",NA,"E1","Control"
"17","Q1",2008,6,23.4765242176475,19.4956422692455,2,0,3.262739,"E1 Q1","UG",NA,"E1","Control"
"18","Q1",2008,7,4.9850469627765,4.30755032694247,2,1,0,"E1 Q1","UG",NA,"E1","Control"
"19","Q1",2008,8,0.25,0.25,2,1,0.839938,"E1 Q1","UG",NA,"E1","Control"
"20","Q1",2008,9,5.140872436392,0.25,2,1,0.016863,"E1 Q1","UG",NA,"E1","Control"
"21","Q1",2009,1,67.304911851793,122.280927460094,3,0,0.524005000000002,"E1 Q1","UG",NA,"E1","Control"
"22","Q1",2009,12,17.913731339096,21.5089806314675,3,0,15.286705,"E1 Q1","UG",NA,"E1","Control"
"23","Q1",2009,2,6.286359639589,16.2424733261355,2.75,0,3.48620099999999,"E1 Q1","UG",NA,"E1","Control"
"24","Q1",2009,3,0.25,0.25,2,0,23.522846,"E1 Q1","UG",NA,"E1","Control"
"25","Q1",2009,4,45.637267451884,17.3455483325175,3,0,0,"E1 Q1","UG",NA,"E1","Control"
"26","Q1",2009,5,114.611239394197,68.671739178671,2,0,16.133241,"E1 Q1","UG",NA,"E1","Control"
"27","Q1",2009,6,15.219774062958,23.4765242176475,2,0,2.136888,"E1 Q1","UG",NA,"E1","Control"
"28","Q1",2009,7,14.457123084392,4.9850469627765,3,1,0,"E1 Q1","UG",NA,"E1","Control"
"29","Q1",2009,9,5.1224750887745,5.140872436392,3,1,0,"E1 Q1","UG",NA,"E1","Control"
"30","Q1",2010,1,23.060007632103,67.304911851793,3.66666666666667,0,1.812601,"E1 Q1","UG",NA,"E1","Control"
"31","Q1",2010,12,18.34479069319,17.913731339096,4,0,15.034937,"E1 Q1","UG",NA,"E1","Control"
"32","Q1",2010,2,11.498961599773,6.286359639589,4,0,4.015422,"E1 Q1","UG",NA,"E1","Control"
